Title,year,Rating,Run Time,imdb_rating,Budget,Gross_worldwide,Director,Metascore
Room,2015,R,1h 58m,8.1,"$13,000,000 (estimated)","$35,401,758",Lenny Abrahamson,86
Mr. Smith Goes to Washington,1939,Passed,2h 9m,8.1,"$1,900,000 (estimated)","$144,738",Frank Capra,73
The Great Escape,1963,Approved,2h 52m,8.2,"$4,000,000 (estimated)","$228,178",John Sturges,86
Spider-Man: Into the Spider-Verse,2018,PG,1h 57m,8.4,"$90,000,000 (estimated)","$375,540,831",Bob Persichetti,87
The Godfather: Part II,1974,R,3h 22m,9,"$13,000,000 (estimated)","$47,961,010",Francis Ford Coppola,90
Raging Bull,1980,R,2h 9m,8.2,"$18,000,000 (estimated)","$23,402,427",Martin Scorsese,89
Fight Club,1999,R,2h 19m,8.8,"$63,000,000 (estimated)","$101,209,702",David Fincher,66
The Pianist,2002,R,2h 30m,8.5,"$35,000,000 (estimated)","$120,072,577",Roman Polanski,85
Come and See,1985,Not Rated,2h 22m,8.4,null,"$20,929,648",Elem Klimov,null
Amadeus,1984,PG,2h 40m,8.4,"$18,000,000 (estimated)","$52,066,791",Milos Forman,88
Eternal Sunshine of the Spotless Mind,2004,R,1h 48m,8.3,"$20,000,000 (estimated)","$74,036,715",Michel Gondry,89
Dersu Uzala,1975,G,2h 22m,8.2,"$4,000,000 (estimated)","$14,480",Akira Kurosawa,null
Ford v Ferrari,2019,PG-13,2h 32m,8.1,"$97,600,000 (estimated)","$225,508,210",James Mangold,81
The Bridge on the River Kwai,1957,PG,2h 41m,8.2,"$3,000,000 (estimated)","$27,200,000",David Lean,87
Cinema Paradiso,1988,PG,2h 35m,8.5,"$5,000,000 (estimated)","$13,019,063",Giuseppe Tornatore,80
Parasite,2019,R,2h 12m,8.5,"$11,400,000 (estimated)","$263,136,741",Bong Joon Ho,96
Witness for the Prosecution,1957,Approved,1h 56m,8.4,"$3,000,000 (estimated)","$7,693",Billy Wilder,null
Monty Python and the Holy Grail,1975,PG,1h 31m,8.2,"£229,575 (estimated)","$1,940,906",Terry Gilliam,91
There Will Be Blood,2007,R,2h 38m,8.2,"$25,000,000 (estimated)","$76,182,388",Paul Thomas Anderson,93
Back to the Future,1985,PG,1h 56m,8.5,"$19,000,000 (estimated)","$383,336,762",Robert Zemeckis,87
Prisoners,2013,R,2h 33m,8.1,"$46,000,000 (estimated)","$122,126,687",Denis Villeneuve,70
The Elephant Man,1980,PG,2h 4m,8.2,"$5,000,000 (estimated)","$26,023,860",David Lynch,78
Terminator 2: Judgment Day,1991,R,2h 17m,8.6,"$102,000,000 (estimated)","$520,881,154",James Cameron,75
Se7en,1995,R,2h 7m,8.6,"$33,000,000 (estimated)","$327,333,559",David Fincher,65
One Flew Over the Cuckoo's Nest,1975,R,2h 13m,8.7,"$3,000,000 (estimated)","$109,114,817",Milos Forman,84
